,Total_0_to_200,Total_200_to_400,Total_400_to_600,Total_600_to_800,Total_800_to_1000,Total_1000_to_1200,Total_1200_to_1400,Total_1400_to_1600,N. Pieza
0,4122.965318452536,2528.3563591335815,1714.0245739975446,1540.6202497459303,1544.0377891973487,1498.2983849737034,1515.5631328216377,1471.914751057243,1
1,5537.90454967278,5583.438180750801,2324.165847321136,1814.8729080966689,2179.9228601484615,2233.672258531464,1620.8146373409563,1540.2589320517868,2
2,7967.396400856641,7053.381487828384,4154.728333407312,2318.7824557780864,1905.2965230615316,1930.733148942186,1950.7115359482,1694.1016004085664,3
3,6967.405346081952,7322.700122812602,5167.866064259054,2623.2520817255354,3660.30568302684,3770.491215866773,2674.9858240385,2388.286110988562,30
4,9588.5570308967,12698.387341743528,6899.5913239976035,5375.375156943866,5597.564997278237,6512.240589577808,3676.1339377019585,3290.4591508540525,31
5,7207.983237059094,8772.632719289597,4107.577451951899,2388.611409918029,2723.380179024938,2836.0708774489776,1762.7137319870728,1546.8768085866195,32
6,7130.904116639107,8567.230692719388,4504.330519423349,2469.5030717623476,3084.107711939344,2618.418686729077,1850.4476402420005,1524.5861622278057,60
7,9598.281787545016,12299.633991614797,6872.9111466633785,5118.650055912435,11160.11997553748,13171.390300626406,4014.194415605743,3294.3892517091754,61
8,7183.636751973456,9862.786862691799,7585.133329331154,5585.291943661776,6272.339238873002,7714.917996449339,4888.085113792076,5150.97120808968,62
9,8153.889945398829,10705.390683424535,6691.6364420144655,4494.459396376316,6288.311809667495,8382.026718501238,4152.066387370839,3192.7625509169116,100
10,9227.110497683952,13952.11586413952,8642.685351994602,6411.877116180378,8565.50228151014,8566.99808190159,4733.209265472169,4804.251729209608,101
11,9484.446177158941,11941.740181883702,7692.6507357686305,5138.550816054467,9045.199280999994,11296.52384548181,4935.106280150337,4299.9938636675015,102
12,11875.02228011437,16415.960359871508,8519.834809119464,6571.0591858868975,11923.323059289783,12738.174814761689,5210.233849742959,5184.392618377774,103
